Time - Data	Voltage(V) or Current(A) - Data
오후 4:28:16	0.00714883
오후 4:28:16	0.00710775
오후 4:28:16	0.00707076
오후 4:28:17	0.00703118
오후 4:28:17	0.00700006
오후 4:28:17	0.00696266
오후 4:28:18	0.00688214
오후 4:28:18	0.00688894
오후 4:28:18	0.00686974
오후 4:28:18	0.00684308
오후 4:28:19	0.00682699
오후 4:28:19	0.00678291
오후 4:28:19	0.00677543
오후 4:28:20	0.006805
오후 4:28:20	0.00680958
오후 4:28:20	0.00681653
오후 4:28:20	0.00681511
오후 4:28:21	0.00675283
오후 4:28:21	0.00679456
오후 4:28:21	0.00681537
오후 4:28:22	0.0068253
오후 4:28:22	0.00684098
오후 4:28:22	0.00683573
오후 4:28:22	0.00679662
오후 4:28:23	0.00685479
오후 4:28:23	0.00688082
오후 4:28:23	0.00689602
오후 4:28:24	0.00690316
오후 4:28:24	0.00685168
오후 4:28:24	0.00687718
오후 4:28:24	0.00689997
오후 4:28:25	0.00689412
오후 4:28:25	0.00688649
오후 4:28:25	0.00687968
오후 4:28:25	0.00679604
오후 4:28:26	0.00682443
오후 4:28:26	0.00684111
오후 4:28:26	0.00684034
오후 4:28:27	0.00685093
오후 4:28:27	0.00682991
오후 4:28:27	0.00676797
오후 4:28:27	0.00680592
오후 4:28:28	0.00681368
오후 4:28:28	0.00681103
오후 4:28:28	0.0068142
오후 4:28:29	0.00677794
오후 4:28:29	0.00677076
오후 4:28:29	0.00678447
오후 4:28:29	0.0067931
오후 4:28:30	0.00680428
오후 4:28:30	0.00681108
오후 4:28:30	0.006748
오후 4:28:31	0.00679015
오후 4:28:31	0.00680888
오후 4:28:31	0.00803418
오후 4:28:31	0.00773889
오후 4:28:32	0.0072692
오후 4:28:32	0.00710246
오후 4:28:32	0.00913212
오후 4:28:33	0.00683434
오후 4:28:33	0.00681895
오후 4:28:33	0.00685022
오후 4:28:33	0.00698957
오후 4:28:34	0.00699402
오후 4:28:34	0.00698429
오후 4:28:34	0.00700088
오후 4:28:35	0.00898758
오후 4:28:35	0.00686481
오후 4:28:35	0.00678625
오후 4:28:35	0.0068232
오후 4:28:36	0.00699877
오후 4:28:36	0.00698565
오후 4:28:36	0.00697888
오후 4:28:36	0.00694251
오후 4:28:37	0.00899119
오후 4:28:37	0.0068005
오후 4:28:37	0.00680818
오후 4:28:38	0.00681588
오후 4:28:38	0.00695154
오후 4:28:38	0.00687614
오후 4:28:38	0.00689796
오후 4:28:39	0.00691666
오후 4:28:39	0.00885923
오후 4:28:39	0.00679702
오후 4:28:40	0.00678998
오후 4:28:40	0.00674218
오후 4:28:40	0.00691203
오후 4:28:40	0.00688611
오후 4:28:41	0.00692908
오후 4:28:41	0.00766354
오후 4:28:41	0.00795588
오후 4:28:42	0.00676757
오후 4:28:42	0.00679905
오후 4:28:42	0.00681009
오후 4:28:42	0.00691684
오후 4:28:43	0.00690358
오후 4:28:43	0.0068413
오후 4:28:43	0.00788713
오후 4:28:44	0.00786204
오후 4:28:44	0.00680566
오후 4:28:44	0.00677971
오후 4:28:44	0.00676922
오후 4:28:45	0.00683725
오후 4:28:45	0.00685287
오후 4:28:45	0.00687619
오후 4:28:46	0.00875855
오후 4:28:46	0.00686168
오후 4:28:46	0.0067794
오후 4:28:46	0.00681075
오후 4:28:47	0.00683482
오후 4:28:47	0.00693232
오후 4:28:47	0.0069012
오후 4:28:47	0.00686239
오후 4:28:48	0.00879753
오후 4:28:48	0.00683932
오후 4:28:48	0.00678868
오후 4:28:49	0.00677816
오후 4:28:49	0.00682718
오후 4:28:49	0.006854
오후 4:28:49	0.00683706
오후 4:28:50	0.00688327
오후 4:28:50	0.0089415
오후 4:28:50	0.00698762
오후 4:28:51	0.00697557
오후 4:28:51	0.00692026
오후 4:28:51	0.00696732
오후 4:28:51	0.00702124
오후 4:28:52	0.00702979
오후 4:28:52	0.00704097
오후 4:28:52	0.00865089
오후 4:28:53	0.00603286
오후 4:28:53	0.00658939
오후 4:28:53	0.00668103
오후 4:28:53	0.00673415
오후 4:28:54	0.00678836
오후 4:28:54	0.00676686
오후 4:28:54	0.00679222
오후 4:28:55	0.00684336
오후 4:28:55	0.00687806
오후 4:28:55	0.00690485
오후 4:28:55	0.00691982
오후 4:28:56	0.00685624
오후 4:28:56	0.00692471
오후 4:28:56	0.00697265
오후 4:28:57	0.00701184
오후 4:28:57	0.00703219
오후 4:28:57	0.0070602
오후 4:28:57	0.0070882
오후 4:28:58	0.00711298
오후 4:28:58	0.00705177
오후 4:28:58	0.00701203
오후 4:28:58	0.0070302
오후 4:28:59	0.00699974
오후 4:28:59	0.00703946
오후 4:28:59	0.00709795
